# Dt pitch noise nIonTot sigma nPixTot sigma sigTot sigma maxH sigma alpha
 2.0 5.0 30.0 94762.9441342 121.659499022 103.140005792 22.8171628693 94768.9929169 325.134051684 5818.10192921 2190.22116006 2.13879176123
 2.0 6.0 10.0 94760.9319735 131.214667381 76.5470865118 16.067422701 94763.7760884 156.649959005 7681.24158539 1870.35131848 1.08093165157
 5.0 2.0 20.0 94767.3626145 134.164032725 1097.04554625 345.873062623 94764.4379734 670.585155215 400.669315496 196.967236013 2.25039956939
 10.0 2.0 10.0 94759.685653 121.884219997 1693.17184417 1383.21932875 94725.0982478 498.066308382 155.66614977 110.490929488 1.72066924657
 9.0 3.0 30.0 94759.6689636 129.178273668 1011.72586009 297.97808019 94727.7110382 966.379178596 361.42156188 253.661311904 5.26199201856
 10.0 1.0 30.0 94768.4101203 134.650190375 965.036900725 4110.77606773 92593.5226538 3180.40105629 74.2874310209 19.8755822356 277.583701348
 3.0 10.0 20.0 94760.5666214 124.509840829 45.4375072615 9.96352610082 94763.4297083 183.168011106 12840.2172104 5110.7993096 1.69119315931
 4.0 8.0 20.0 94762.8590501 123.243842907 81.7591350365 17.4095724891 94761.7113194 220.694105448 6203.5290149 3739.12525881 4.74418383562
 3.0 6.0 20.0 94757.9423789 120.487430673 103.57933207 22.8620389787 94756.4261657 242.35195014 5367.51500692 2255.6380805 3.01370386945
 8.0 9.0 30.0 94756.1346982 124.519165147 132.264179088 26.3201985781 94758.4000227 344.846168074 3699.9417527 2066.35156697 3925.08517492
 1.0 9.0 10.0 94766.1721627 121.465032687 28.4521850532 6.38168491286 94765.9150059 137.393768404 9461.35298504 749.326475184 0.0334707616799
 6.0 4.0 30.0 94764.4329265 124.272890494 403.152791054 92.1189669493 94776.068559 637.325839924 1626.33267751 351.16316606 -0.00246088202491
 6.0 7.0 10.0 94759.1357619 127.145871306 149.811568873 31.8506236318 94765.397182 188.792816841 4581.69521582 918.962889282 -0.00203523064177
 1.0 3.0 20.0 94756.8129369 127.963420071 149.430855666 29.5807681484 94761.2459496 260.398315559 5984.03229046 1175.30121961 -0.00206215181046
 7.0 7.0 20.0 94764.2007117 130.627935488 176.085256876 35.529086962 94756.3648517 294.281449692 3838.47574066 782.788783877 -0.00178712793941
 6.0 10.0 20.0 94748.5919344 125.046612546 81.7294369656 17.1973094472 94756.0547945 226.152881114 6195.72096059 3040.12026457 3.33822680806
 1.0 8.0 20.0 94759.5351351 121.489149579 33.6402686481 7.19607007943 94754.565138 175.220150288 19810.7503471 2919.41632655 -2.46630933958
 6.0 6.0 20.0 94755.5684327 127.074750099 194.854334842 39.1194325344 94740.7065995 299.838143026 3457.73755134 745.753302529 -0.00335053555859
 1.0 2.0 10.0 94768.3169382 130.241579876 289.928268627 56.390659748 94754.0993547 223.37364003 3433.84728581 623.628951834 -0.00199373461071
 1.0 1.0 30.0 94756.8642308 134.015954115 786.928964864 460.392433033 94579.0832753 1090.93457754 1010.76862681 234.670025125 -0.00454713033891
 7.0 10.0 10.0 94764.864038 126.199076079 95.4562217363 18.6323494808 94764.0910035 157.759832096 6765.69271011 1403.09081674 0.167253195453
 7.0 5.0 30.0 94760.5082641 130.744119179 313.057435917 69.307911541 94747.8977773 548.218197398 1485.74576238 770.64713739 3.69514093101
 7.0 6.0 10.0 94762.4842505 126.263304359 227.841623609 46.2333833865 94770.5569711 195.969242074 2892.0849369 635.771441341 -0.00271791596828
 8.0 1.0 10.0 94765.699696 121.812278156 985.752133302 3314.10955917 94044.5289111 1237.60108448 70.5822482952 24.9599275602 4.05967844855
 4.0 3.0 20.0 94758.1232338 138.576272567 434.442050616 114.456384781 94722.8002014 449.614558551 1539.66762135 304.373749793 -0.0020748287556
 8.0 2.0 30.0 94757.6992104 127.926772628 3945.75584801 1466.99825423 94667.773192 1202.26649236 111.241193246 168.28625527 30.9267719234
 5.0 9.0 20.0 94756.8465969 122.668539616 82.5260271322 16.8325756771 94757.6542829 224.655594616 6273.29471022 2833.64170789 2.90201324896
 10.0 9.0 10.0 94763.0334746 124.641838623 166.149370074 30.9814394233 94765.2413218 188.668753363 3965.54515729 816.016611954 -0.00261668574158
 9.0 8.0 30.0 94761.9863936 133.568175459 182.599663061 33.2766571597 94768.9005199 418.055231279 2500.12243368 1539.79771614 877.28070818
 2.0 7.0 20.0 94767.3805731 125.300839223 59.7565555872 13.2672637501 94762.060529 198.322308241 8179.80520993 2784.36356834 2.20563821347
 9.0 1.0 20.0 94759.5594821 125.689792904 858.076834361 4324.6444668 93706.6921259 1787.29568171 75.3233340991 21.6458073394 1.53574417913
 5.0 3.0 10.0 94754.9523011 125.995177025 539.428443027 139.554747396 94744.1457702 257.772455207 875.922758618 407.072603202 3.17939287144
 10.0 3.0 20.0 94761.1031982 125.144122525 1124.49716458 315.449357116 94783.189411 667.612131467 328.239587943 210.660833044 5.11475330762
 4.0 9.0 10.0 94761.6643032 123.914269278 67.9973604065 14.4789145448 94764.9353653 150.340600485 7481.41491219 3547.28800142 3.63508610421
 3.0 4.0 30.0 94762.3408105 128.227083483 204.434486521 46.2298714264 94747.7356941 445.923870538 3625.50752162 670.600027589 -0.0030852789282
 3.0 7.0 10.0 94765.3569662 129.11265193 80.2937861984 17.2817999817 94763.4937555 165.126187783 6595.46742191 3201.56192451 3.59202318539
 8.0 7.0 30.0 94754.188685 131.106804235 203.358748806 41.3584618667 94746.3262531 458.597712835 2299.97634737 1359.28326591 7409.38073826
 3.0 8.0 20.0 94758.0225264 127.114849678 64.3196327891 14.5974019112 94768.493393 206.027506409 7921.26525339 4366.53145515 3.09360588297
 8.0 4.0 10.0 94761.2517578 124.631056082 529.025699805 120.938090382 94750.4257214 262.39527578 1035.3300105 243.323744666 0.531974850418
 4.0 6.0 20.0 94759.9994488 121.14420122 132.121279735 28.8777270799 94756.7113594 271.172203331 5372.66522225 1106.53325827 -0.00342714116186
 2.0 2.0 20.0 94762.6249454 131.013677628 483.827905246 118.06937047 94744.4066287 481.974286768 1304.49669388 513.997995535 2.28559580386
 4.0 10.0 20.0 94760.0788701 122.825172518 56.4150835703 11.8068792294 94761.3754298 201.873090663 8284.65912648 14557054.7673 13021.2560438
 2.0 8.0 10.0 94762.4835405 125.01869937 48.4785592417 10.5399859201 94765.935391 148.952577461 9842.6252873 1312.50637801 0.0175364865888
 5.0 5.0 30.0 94752.4418967 127.075803517 221.394880472 47.735999046 94741.8710371 457.624766507 3061.56064008 618.06119168 -0.00285749486956
 9.0 4.0 20.0 94759.5239339 129.731048677 602.675750644 132.643969908 94717.3050526 503.354116891 695.26836157 395.09569023 3.59210643576
 10.0 6.0 20.0 94763.6498239 127.21784124 344.424552174 65.4453176757 94774.6479461 403.326974943 1304.42570477 756.05734415 4.52455010786
 5.0 6.0 10.0 94759.1481266 127.108063723 162.259394072 35.0161652081 94753.4963279 184.439429907 4225.66676424 839.679108141 -0.00183984245385
 3.0 2.0 10.0 94757.6432576 134.417915582 682.032412823 185.293844206 94753.7615308 301.193818374 790.105108081 330.963723201 2.32982545748
 5.0 10.0 10.0 94765.1378001 122.17224808 69.1540172042 14.2601199508 94760.0549684 149.953875099 6906.34798028 149279703.376 200483.56194
 3.0 1.0 30.0 94755.5066915 129.369954534 3271.91608589 3425.71404027 94358.9335077 1521.60038942 115.051758754 135.568018081 12.0431475864
 10.0 10.0 20.0 94757.8655679 130.275385714 140.42622416 23.8814904034 94766.6081487 263.062127965 3100.54775489 2236.50498767 2502.72899914
 7.0 9.0 20.0 94762.4998383 131.179720671 114.874628449 23.0388068911 94761.2281907 248.969208945 4339.39560835 2308.75498341 3.78567827192
 6.0 3.0 20.0 94757.8346018 126.612115594 658.31987237 183.110050507 94732.0252704 487.928252539 697.973533812 336.303320706 21.501882592
 6.0 9.0 10.0 94758.8116831 123.978964313 97.7158557269 20.9148520906 94759.4393322 166.9983305 5186.53790898 2424.31056009 3.35520843397
 1.0 4.0 30.0 94764.9796947 128.711506443 94.1866942167 19.5614686087 94758.6135463 317.56756422 6562.57145897 2355.92929163 1.69555055617
 1.0 7.0 10.0 94756.5009907 122.528496834 40.6653503239 8.77058390142 94764.0047349 143.090123353 25095.2016634 4134.26103365 -22.6429619298
 7.0 3.0 10.0 94753.256688 132.155242645 761.816708993 228.489872446 94765.6536192 313.307631733 567.699424033 284.289390849 2.73436002981
 7.0 8.0 10.0 94759.0988144 129.486998344 140.937670325 28.2644256957 94758.634083 179.920070754 4897.68509143 994.533465689 -0.00233638611395
 6.0 2.0 10.0 94759.8269736 123.630610937 1269.27813468 370.329524062 94742.1632709 388.973008458 328.46614454 161.099536465 1.56402961448
 6.0 1.0 30.0 94762.3635086 133.684915851 1448.37682561 3924.14878961 94249.8339486 1810.34037662 110.324674733 54.3992517138 -5.43135047809
 6.0 8.0 20.0 94761.1863079 126.960303821 118.762266914 25.0807328003 94752.0339412 264.404389216 5810.63360061 1193.54133519 -0.00155862628693
 1.0 6.0 20.0 94769.0021595 126.960683342 50.975242891 10.7068379357 94777.5942929 198.285745833 10126.1086591 2577566.64697 1283.03682084
 7.0 2.0 20.0 94761.6637187 131.377991669 2148.78370739 875.728980623 94677.0313664 867.729034283 364.837064919 89.8997765795 -0.00522127975819
 1.0 10.0 20.0 94762.7655439 130.071523716 24.7634295526 5.43396946312 94759.4999331 166.815825106 35001.4666054 103115.494895 9.99564841979
 3.0 9.0 10.0 94759.0964585 123.692888291 54.0152353903 11.2593562443 94761.5275564 150.650378537 9266.58297176 1157.46343887 0.0208208962495
 4.0 4.0 30.0 94753.737937 122.517945314 264.975150666 59.1676440291 94776.7596569 512.981339076 2635.35257674 513.771590142 -0.00288370362826
 8.0 5.0 20.0 94771.4478033 126.710292696 363.113209171 76.9246651175 94790.5367091 415.487504318 1736.38483525 379.205789667 -0.00212922273663
 4.0 7.0 10.0 94759.624574 128.576576776 102.391019614 22.3283813946 94756.4550141 164.752774905 5289.25037002 2200.86790797 2.65552780648
 2.0 3.0 10.0 94767.1122292 126.832611153 239.992897391 52.289654734 94757.9720514 204.480298358 3410.7917461 598.379770606 -0.00219258296638
 2.0 9.0 20.0 94764.3187328 129.704742398 40.6548764256 8.733228988 94771.3587933 178.14302283 22353.541734 3964.30739794 -9.88611925728
 9.0 6.0 30.0 94768.7924956 133.714409615 297.846417338 58.8912117318 94737.6077183 512.368470763 2090.77808878 416.970611691 -0.00191583432632
 10.0 4.0 30.0 94748.7631119 129.404907428 685.449276587 153.357896595 94759.9094298 754.952902954 736.245916208 227.894359097 0.968833663103
 9.0 5.0 10.0 94768.621836 125.353016898 407.330217467 85.987055833 94746.5132594 247.066809927 1059.58814272 603.157833615 4.35694533299
 10.0 7.0 10.0 94757.5388878 127.887871639 257.595071217 49.1170120452 94765.7363574 205.214410884 2478.7541667 521.729508588 -0.00238329447716
 5.0 7.0 20.0 94763.8807322 131.478689758 125.033306563 26.4915679684 94768.1320094 270.948396038 5571.35445665 1125.81910011 -0.00160496816563
 9.0 10.0 30.0 94754.6091196 124.010182398 123.369986942 22.5395681723 94764.3589781 354.02009283 5453.39337776 1153.41554469 -0.00167099824892
 3.0 3.0 20.0 94761.0116668 124.793094783 337.046463347 83.5252243278 94790.7910346 389.243371119 2171.07164436 442.98837466 -0.00277721380747
 6.0 6.0 30.0 94755.5684386 127.074751608 194.854334842 39.1194325344 94732.4409129 422.360669981 3457.73755134 745.753302529 -0.00335053555859
 6.0 5.0 10.0 94756.3933357 134.521413977 264.240544236 56.3165880419 94758.8659141 203.693146737 2470.73907316 499.079975297 -0.00182133053302
 1.0 8.0 30.0 94759.5360271 121.487498901 33.6402686481 7.19607007943 94753.6730995 221.264597934 19810.7503471 2919.41632655 -2.46630933958
 6.0 10.0 30.0 94748.5919344 125.046612546 81.7294369656 17.1973094472 94754.8903091 303.151642251 6195.72096059 3040.12026457 3.33822680806
 7.0 5.0 20.0 94760.5082641 130.744119179 313.057435917 69.307911541 94762.3290554 377.613213517 1485.74576238 770.64713739 3.69514093101
 1.0 1.0 20.0 94756.8642308 134.015954115 786.928964864 460.392433033 94605.8193673 723.669761624 1010.76862681 234.670025125 -0.00454713033891
 2.0 7.0 30.0 94767.3805731 125.300839223 59.7565555872 13.2672637501 94761.2301023 262.888682352 8179.80520993 2784.36356834 2.20563821347
 9.0 8.0 20.0 94761.9863936 133.568175459 182.599663061 33.2766571597 94773.1255328 296.623936472 3615.4002788 715.476792082 -0.00281439464965
 2.0 4.0 10.0 94755.699455 128.68152887 148.559510773 32.777657203 94757.4052837 176.239324519 5363.47159279 1054.50828839 -0.00294316404829
 5.0 9.0 30.0 94756.8465969 122.668539616 82.5260271322 16.8325756771 94752.1567304 300.704332802 6273.29471022 2833.64170789 2.90201324896
 8.0 2.0 20.0 94757.6992104 127.926772628 3945.75584801 1466.99825423 94686.3907373 875.114519495 111.241193246 168.28625527 30.9267719234
 4.0 3.0 30.0 94758.1232338 138.576272567 434.442050616 114.456384781 94716.6605664 669.541145528 1539.66762135 304.373749793 -0.0020748287556
 8.0 8.0 10.0 94761.6206595 127.744742914 161.393163169 31.6319869614 94756.6156715 181.687405868 3017.13594486 1592.89782639 3.99258559584
 3.0 4.0 20.0 94762.3408105 128.227083483 204.434486521 46.2298714264 94750.026404 303.043527502 3625.50752162 670.600027589 -0.0030852789282
 9.0 2.0 10.0 94748.9370073 129.952606125 2985.34186462 1215.23494015 94722.8927819 476.220092128 215.580662242 106.722884736 0.98988662062
 10.0 3.0 30.0 94761.1031982 125.144122525 1124.49716458 315.449357116 94760.3906216 969.398359206 328.239587943 210.660833044 5.11475330762
 9.0 1.0 30.0 94759.5594821 125.689792904 858.076834361 4324.6444668 93877.0328209 2031.12026604 75.3233340991 21.6458073394 1.53574417913
 9.0 9.0 10.0 94761.640417 125.788080813 149.003165345 28.1913477284 94763.1330401 176.494499541 4498.89087016 914.078142685 -0.0018591750949
 2.0 5.0 20.0 94762.9441342 121.659499022 103.140005792 22.8171628693 94768.7446947 239.407494448 5818.10192921 2190.22116006 2.13879176123
 10.0 8.0 30.0 94759.0215364 127.587705085 206.082313252 36.2498745594 94751.8168299 434.772552921 3200.39846117 675.630874495 -0.00261030393661
 4.0 1.0 20.0 94762.6095316 123.992450866 2404.21897438 3807.47847582 94312.7357121 1345.15242641 170.046167561 88.6487771504 37.6078621086
 8.0 3.0 10.0 94763.8076194 128.765891994 888.970313147 260.47971321 94768.9197076 320.503030428 640.393177782 114.924520211 -34.1270137912
 8.0 9.0 20.0 94756.1346982 124.519165147 132.264179088 26.3201985781 94757.704245 248.650851312 3699.9417527 2066.35156697 3925.08517492
 3.0 6.0 30.0 94757.9423789 120.487430673 103.57933207 22.8620389787 94745.7856854 326.59462506 5367.51500692 2255.6380805 3.01370386945
 3.0 5.0 10.0 94764.9827709 125.220011011 140.140481741 31.6645611252 94761.0450911 175.929427144 5240.37804099 968.545155603 -0.00340193346852
 4.0 8.0 30.0 94762.8590501 123.243842907 81.7591350365 17.4095724891 94763.3912193 294.633318657 6203.5290149 3739.12525881 4.74418383562
 3.0 10.0 30.0 94760.5666214 124.509840829 45.4375072615 9.96352610082 94764.5943031 237.771046192 12840.2172104 5110.7993096 1.69119315931
 5.0 1.0 10.0 94758.1858723 129.059398366 1305.02764153 4247.60380956 94406.2036901 789.169196064 153.829400896 43.4360629426 -19.4648161646
 10.0 1.0 20.0 94768.4101203 134.650190375 965.036900725 4110.77606773 60915.5172848 12966.1991588 74.2874310209 19.8755822356 277.583701348
 9.0 3.0 20.0 94759.6689636 129.178273668 1011.72586009 297.97808019 94734.8549173 642.392843164 361.42156188 253.661311904 5.26199201856
 5.0 2.0 30.0 94767.3626145 134.164032725 1097.04554625 345.873062623 94744.1713433 1005.54596872 400.669315496 196.967236013 2.25039956939
 6.0 4.0 20.0 94764.4329265 124.272890494 403.152791054 92.1189669493 94772.6183665 442.825474756 1626.33267751 351.16316606 -0.00246088202491
 7.0 7.0 30.0 94764.2007117 130.627935488 176.085256876 35.529086962 94750.8062971 411.089836912 3838.47574066 782.788783877 -0.00178712793941
 7.0 4.0 10.0 94752.7423281 131.261675924 466.209123009 111.809404365 94741.431378 253.352907846 1338.73507417 285.903657135 0.0040059152876
 1.0 3.0 30.0 94756.8129369 127.963420071 149.430855666 29.5807681484 94755.3868729 366.388199317 5984.03229046 1175.30121961 -0.00206215181046
