# Dt pitch noise nIonTot sigma nPixTot sigma sigTot sigma maxH sigma alpha
 4.0 3.0 10.0 94758.1232338 138.576272567 434.442050616 114.456384781 94748.7654766 263.17292215 1539.66762135 304.373749793 -0.0020748287556
 5.0 9.0 10.0 94756.8466226 122.668515337 82.5260271322 16.8325756771 94754.5867897 158.822578649 6273.29471022 2833.64170789 2.90201324896
 10.0 9.0 20.0 94763.0334746 124.641838623 166.149370074 30.9814394233 94761.5326582 300.149276786 2899.77911513 1689.46675482 412563.155961
 2.0 4.0 30.0 94755.6994372 128.680943706 148.559510773 32.777657203 94769.6525191 362.377822851 5363.47159279 1054.50828839 -0.00294316404829
 2.0 7.0 10.0 94767.3805731 125.300839223 59.7565555872 13.2672637501 94763.0324301 151.304318879 8179.80520993 2784.36356834 2.20563821347
 5.0 2.0 10.0 94767.3626145 134.164032725 1097.04554625 345.873062623 94758.45859 351.875250466 400.669315496 196.967236013 2.25039956939
 10.0 2.0 20.0 94759.685653 121.884219997 1693.17184417 1383.21932875 94770.3903311 987.545850301 155.66614977 110.490929488 1.72066924657
 5.0 1.0 30.0 94758.1858723 129.059398366 1305.02764153 4247.60380956 93919.1754514 2364.04096254 153.829400896 43.4360629426 -19.4648161646
 3.0 10.0 10.0 94760.5666214 124.509840829 45.4375072615 9.96352610082 94764.6483199 146.006101212 12840.2172104 5110.7993096 1.69119315931
 4.0 8.0 10.0 94762.8590501 123.243842907 81.7591350365 17.4095724891 94758.4684765 155.999294141 6203.5290149 3739.12525881 4.74418383562
 3.0 5.0 30.0 94764.9827709 125.220011011 140.140481741 31.6645611252 94757.3900578 357.671066225 5240.37804099 968.545155603 -0.00340193346852
 3.0 6.0 10.0 94757.9423789 120.487430673 103.57933207 22.8620389787 94760.4106935 166.703840205 5367.51500692 2255.6380805 3.01370386945
 4.0 2.0 20.0 94754.8806737 120.112844229 886.120617772 284.238740829 94705.5478536 639.415845728 545.923866652 245.97110726 2.11806517126
 8.0 3.0 30.0 94763.8076194 128.765891994 888.970313147 260.47971321 94770.0638318 847.452164357 640.393177782 114.924520211 -34.1270137912
 2.0 10.0 20.0 94752.7521364 129.044476695 34.7214988185 7.6581932321 94747.9819291 176.130325015 9323.52088294 2137.76823388 0.0274008658156
 5.0 8.0 20.0 94761.695253 127.21036548 99.1635968881 22.44959808 94759.2883387 237.301384404 6835.56508272 1449.75809821 -0.00360224697712
 10.0 8.0 10.0 94759.020893 127.587899835 206.082313252 36.2498745594 94755.4150358 193.926096937 3200.39846117 675.630874495 -0.00261030393661
 9.0 9.0 30.0 94761.640417 125.788080813 149.003165345 28.1913477284 94765.465141 385.830216767 4498.89087016 914.078142685 -0.0018591750949
 2.0 6.0 20.0 94760.9319735 131.214667381 76.5470865118 16.067422701 94758.2279327 207.536401368 7681.24158539 1870.35131848 1.08093165157
